,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Flow ID,225745,86421,192.168.10.25-17.253.14.125-123-123-17,44,,,,,,,
 Source IP,225745,2067,172.16.0.1,128181,,,,,,,
 Source Port,225745.0,,,,38257.56840240094,23057.30207502533,0.0,18990.0,49799.0,58296.0,65534.0
 Destination IP,225745,2554,192.168.10.50,128834,,,,,,,
 Destination Port,225745.0,,,,8879.619460010188,19754.64739968167,0.0,80.0,80.0,80.0,65532.0
 Protocol,225745.0,,,,7.600287935502448,3.88158624375198,0.0,6.0,6.0,6.0,17.0
 Timestamp,225745,93,7/7/2017 4:13,11188,,,,,,,
 Flow Duration,225745.0,,,,16241648.528131299,31524374.23194042,-1.0,71180.0,1452333.0,8805237.0,119999937.0
 Total Fwd Packets,225745.0,,,,4.874916387959866,15.422873551647712,1.0,2.0,3.0,5.0,1932.0
 Total Backward Packets,225745.0,,,,4.572774590799353,21.75535579690998,0.0,1.0,4.0,5.0,2942.0
Total Length of Fwd Packets,225745.0,,,,939.4633458105384,3249.4034840923896,0.0,26.0,30.0,63.0,183012.0
 Total Length of Bwd Packets,225745.0,,,,5960.4774546501585,39218.33744613414,0.0,0.0,164.0,11601.0,5172346.0
 Fwd Packet Length Max,225745.0,,,,538.5356929278611,1864.1289907721177,0.0,6.0,20.0,34.0,11680.0
 Fwd Packet Length Min,225745.0,,,,27.88222109016811,163.32415881091586,0.0,0.0,0.0,6.0,1472.0
 Fwd Packet Length Mean,225745.0,,,,164.82671500740437,504.89296453736137,0.0,6.0,8.666666667,32.0,3867.0
 Fwd Packet Length Std,225745.0,,,,214.90724223523156,797.411073492869,0.0,0.0,5.30199124,10.26320288,6692.644993
Bwd Packet Length Max,225745.0,,,,2735.5851469578506,3705.1234604661627,0.0,0.0,99.0,5840.0,11680.0
 Bwd Packet Length Min,225745.0,,,,16.718775609648056,50.48056767646789,0.0,0.0,0.0,6.0,1460.0
