Feature,Mean,Std,Skewness,Kurtosis,Outlier %
ECE Flag Count,0.00,0.01,91.42,8356.11,0.0
RST Flag Count,0.00,0.01,91.42,8356.11,0.0
act_data_pkt_fwd,3.31,12.27,79.26,9428.29,3.0
Active Std,12934.36,210273.67,77.54,11912.23,2.5
Flow Bytes/s,585393.88,16885519.73,73.85,6811.11,20.6
Total Length of Bwd Packets,5960.48,39218.34,69.60,6813.51,0.8
Subflow Bwd Bytes,5960.48,39218.34,69.60,6813.51,0.8
Total Backward Packets,4.57,21.76,66.21,6622.88,3.1
Subflow Bwd Packets,4.57,21.76,66.21,6622.88,3.1
Subflow Fwd Packets,4.87,15.42,59.64,5296.22,3.9
Total Fwd Packets,4.87,15.42,59.64,5296.22,3.9
Bwd Header Length,106.79,511.77,56.28,4643.73,3.2
Bwd Packets/s,1641.69,19895.93,56.18,4280.73,18.1
Flow IAT Min,28118.55,759810.04,55.92,4423.47,14.2
Fwd Header Length.1,111.52,375.79,54.41,4174.27,15.9
Fwd Header Length,111.52,375.79,54.41,4174.27,15.9
Fwd IAT Min,207369.83,3795227.55,22.69,559.38,12.4
Bwd IAT Min,225781.74,4019289.76,20.77,467.92,15.7
FIN Flag Count,0.00,0.05,19.27,369.38,0.3
Active Min,177620.09,784260.22,15.44,1300.10,19.3
Active Mean,184826.09,797925.04,15.19,1227.37,19.4
Active Max,208084.87,900234.99,15.14,933.42,19.4
Bwd IAT Mean,947632.22,4586373.98,14.21,268.86,13.5
Fwd Packets/s,12615.08,110670.14,13.33,212.90,17.6
Flow Packets/s,14241.20,115104.24,13.04,207.54,17.3
