Feature A,Feature B,r,abs_r
 Idle Max, Flow IAT Max,0.9971161953174404,0.9971161953174404
Fwd IAT Total, Flow Duration,0.9970398078047488,0.9970398078047488
 Fwd IAT Max, Flow IAT Max,0.9952832318556547,0.9952832318556547
 Fwd IAT Max, Idle Max,0.9926944745283821,0.9926944745283821
 Fwd IAT Max, Fwd IAT Std,0.9822133195076483,0.9822133195076483
 Flow IAT Max, Flow IAT Std,0.9794640418356594,0.9794640418356594
 Idle Max, Flow IAT Std,0.9772377783699916,0.9772377783699916
 Flow IAT Max, Fwd IAT Std,0.9734746217361366,0.9734746217361366
 Idle Max, Fwd IAT Std,0.9714721220884867,0.9714721220884867
 Fwd IAT Max, Flow IAT Std,0.9706463645483769,0.9706463645483769
 Bwd IAT Max, Bwd IAT Std,0.9645074115754347,0.9645074115754347
 Idle Max,Idle Mean,0.9524130931427062,0.9524130931427062
 Flow IAT Max,Idle Mean,0.9492714486787711,0.9492714486787711
 Fwd IAT Std, Flow IAT Std,0.9416348119742342,0.9416348119742342
 Fwd IAT Max,Idle Mean,0.9396827897051958,0.9396827897051958
Idle Mean, Flow IAT Std,0.9388067289685571,0.9388067289685571
Fwd IAT Total, Fwd IAT Max,0.9224741897063512,0.9224741897063512
 Flow IAT Std, Flow IAT Mean,0.9212675515368419,0.9212675515368419
 Flow Duration, Flow IAT Max,0.9210899879995921,0.9210899879995921
 Flow Duration, Idle Max,0.919907929916518,0.919907929916518
